sizeMap; possibleActions; possibleStates; initialQValues; learningMethod; selectionMethod; selectionMethodForSimulationMCTS; numberOfTasks; numberOfEpisodes; softmax_baselineUsed; softmax_temperature; UCB_c; eGreedy_epsilon_initial; eGreedy_epsilon_final; qLearning_alpha; qLearning_gamma; qLearning_lambda; maxStepsForSimulationMCTS; simulationDepthChargeMCTS; taskNumber; episodeNumber; episodeStepTime; optimalAction; lastState; actionInLastState; newState; averageReward; RMS; percentageOfChosenOptimalActionsPerEpisode; percentageOfChosenActionsPerEpisode; victories;
;;;;;;;;;;;;;;;;;;;15;147;206;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;13.526570048309178;14.00966_9.17874_15.45894_9.66184_18.84058_7.24638_12.07729_13.52657;1;
;;;;;;;;;;;;;;;;;;;15;148;414;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_BAJA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;13.493975903614459;14.6988_8.19277_15.18072_11.80723_15.66265_8.43373_12.53012_13.49398;0;
;;;;;;;;;;;;;;;;;;;15;149;982;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_BAJA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;9.969481180061038;15.86979_10.17294_13.63174_9.05392_18.71821_8.03662_14.5473_9.96948;0;

;;;;;;;;;;;;;;;;;;;16;0;398;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;10.275689223057643;13.78446_12.53133_14.28571_8.27068_16.79198_11.02757_13.03258_10.27569;1;
;;;;;;;;;;;;;;;;;;;16;1;317;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;10.062893081761006;17.2956_11.63522_10.69182_11.32075_16.3522_10.69182_11.94969_10.06289;1;
;;;;;;;;;;;;;;;;;;;16;2;267;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_BAJA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;11.567164179104477;11.9403_7.83582_19.02985_10.8209_13.80597_5.97015_19.02985_11.56716;0;
;;;;;;;;;;;;;;;;;;;16;3;198;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;12.06030150753769;14.07035_8.0402_17.58794_10.55276_15.07538_7.53769_15.07538_12.0603;1;
;;;;;;;;;;;;;;;;;;;16;4;308;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_BAJA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;9.70873786407767;14.23948_9.38511_15.85761_11.32686_13.59223_7.76699_18.12298_9.70874;0;
;;;;;;;;;;;;;;;;;;;16;5;130;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;5.343511450381679;17.55725_12.9771_13.74046_8.39695_14.50382_11.45038_16.03053_5.34351;1;
;;;;;;;;;;;;;;;;;;;16;6;174;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;12.0;11.42857_11.42857_14.28571_13.71429_11.42857_8.57143_17.14286_12.0;1;
;;;;;;;;;;;;;;;;;;;16;7;251;LEFT_UP;VIDA_BAJA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_BAJA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;11.507936507936508;15.87302_8.73016_13.49206_10.71429_19.44444_5.15873_15.07937_11.50794;0;
;;;;;;;;;;;;;;;;;;;16;8;322;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;6.191950464396285;14.55108_11.45511_17.33746_8.04954_12.6935_10.83591_18.88545_6.19195;1;
;;;;;;;;;;;;;;;;;;;16;9;275;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_BAJA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;10.144927536231885;13.4058_10.50725_15.57971_9.42029_16.66667_7.24638_17.02899_10.14493;0;
;;;;;;;;;;;;;;;;;;;16;10;184;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_BAJA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;10.81081081081081;10.81081_11.35135_18.91892_6.48649_17.2973_8.10811_16.21622_10.81081;0;
;;;;;;;;;;;;;;;;;;;16;11;156;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_BAJA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;9.554140127388536;15.28662_8.9172_19.10828_8.28025_14.01274_10.19108_14.64968_9.55414;0;
;;;;;;;;;;;;;;;;;;;16;12;137;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;10.869565217391305;10.86957_10.86957_21.73913_6.52174_13.04348_11.5942_14.49275_10.86957;1;
;;;;;;;;;;;;;;;;;;;16;13;121;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;13.114754098360656;9.83607_10.65574_18.85246_9.83607_13.93443_8.19672_15.57377_13.11475;1;
;;;;;;;;;;;;;;;;;;;16;14;143;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_BAJA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;14.583333333333334;13.19444_9.02778_13.88889_12.5_18.05556_4.86111_13.88889_14.58333;0;
;;;;;;;;;;;;;;;;;;;16;15;405;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;10.098522167487685;15.02463_9.35961_15.02463_11.08374_14.77833_8.12808_16.50246_10.09852;1;
;;;;;;;;;;;;;;;;;;;16;16;441;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_BAJA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;13.34841628959276;11.31222_8.37104_17.64706_12.44344_12.44344_7.69231_16.74208_13.34842;0;
;;;;;;;;;;;;;;;;;;;16;17;264;LEFT_UP;VIDA_ALTA_ZONA_ATAQUE_3.0_3.0;DOWN;VIDA_ALTA_ZONA_ATAQUE_ENEMIGO_DESTRUIDO_3.0_3.0;1.0;-1.0;10.18867924528302;13.96226_8.67925_21.88679_5.28302_15.4717_11.32075_13.20755_10.18868;1;
